연번,종교구분,종교시설명,주소,전화번호,데이터기준일자
1,불교,두방사,경상남도 진주시 문산읍 동부로781번길 267,055-761-6351,2025-06-20
2,불교,문수암,경상남도 진주시 문산읍 제곡길 215,,2025-06-20
3,불교,안전사,경상남도 진주시 문산읍 정자천로357번길 44-52,055-759-4732,2025-06-20
4,불교,여래암,경상남도 진주시 문산읍 제곡길 98번길 23-21,055-761-7462,2025-06-20
5,불교,장충사,경상남도 진주시 문산읍 동부로 588번길 42,055-761-0667,2025-06-20
6,불교,적광사,경상남도 진주시 문산읍 소문길 103-19,055-761-5385,2025-06-20
7,불교,죽림정사,경상남도 진주시 문산읍 문정로 592번길 43,055-761-6281,2025-06-20
8,기독교,갈곡교회,경상남도 진주시 문산읍 갈곡길 16번길 7,055-759-5004,2025-06-20
9,기독교,문산감리교회,경상남도 진주시 문산읍 월아산로1052번길 6,055-761-4349,2025-06-20
10,기독교,문산교회,경상남도 진주시 문산읍 월아산로1117번길 15-26,055-761-6352 ,2025-06-20
11,기독교,사랑의 엘림교회,경상남도 진주시 문산읍 동부로 730-21,055-762-5004,2025-06-20
12,기독교,상문교회,경상남도 진주시 문산읍 문산로 890,055-758-4802,2025-06-20
13,기독교,어수교회,경상남도 진주시 문산읍 월아산로832번길 27-3,,2025-06-20
14,기독교,옥산교회,경상남도 진주시 문산읍 문정로592번길 16-7,055-761-5475,2025-06-20
15,기독교,이곡교회,경상남도 진주시 문산읍 이곡길118번길 16-5,055-761-4398,2025-06-20
16,기독교,제곡교회,경상남도 진주시 문산읍 제곡길 143,055-761-5143,2025-06-20
17,기독교,진양교회,경상남도 진주시 문산읍 소문길43번길 9-5,055-761-6948,2025-06-20
18,천주교,문산 천주교회,경상남도 진주시 문산읍 소문길67번길 9-4,055-761-5453,2025-06-20
19,원불교,원불교 문산교당,경상남도 진주시 문산읍 소문길17번길 17,055-761-5260,2025-06-20
20,천리교,천리교문산교회,경상남도 진주시 문산읍 동부로 664-7,055-761-5374,2025-06-20
21,불교,법륜사,경상남도 진주시 문산읍 동부로 1037-33,,2025-06-20
22,기독교,순복음시온성교회,"경상남도 진주시 문산읍 소문길 64, 3층",,2025-06-20
23,불교,천지미륵사,경상남도 진주시 문산읍 동부로 933-8,055-756-2012 ,2025-06-20
24,기독교,진주나들목교회,경상남도 진주시 문산읍 동부로 743,055-761-2279,2025-06-20
25,불교,대성암,경상남도 진주시 내동면 독산길 65-32,055-759-5188,2025-06-20
26,불교,약수암,경상남도 진주시 내동면 망경로 31-182,055-759-6208,2025-06-20
27,불교,삼산사,경상남도 진주시 내동면 내동로 246-16,055-759-5976,2025-06-20
28,불교,학산암,경상남도 진주시 내동면 삼계로 78-31,055-756-1530,2025-06-20
29,불교,유정사,경상남도 진주시 내동면 독산길 129,055-758-3471,2025-06-20
30,불교,불명사,경상남도 진주시 내동면 유수길 233-27,055-756-1095,2025-06-20
31,기독교,독산교회,경상남도 진주시 내동면 독산길 65,055-759-6117,2025-06-20
32,기독교,유수교회,경상남도 진주시 내동면 내축로 577번길 17,055-756-1632,2025-06-20
33,기독교,세원교회,경상남도 진주시 내동면 내동로 216-149,055-752-1101,2025-06-20
34,기독교,여호와증인,경상남도 진주시 내동면 순환로 425-36,055-741-3411,2025-06-20
35,기독교,주님사랑교회,경상남도 진주시 내동면 내동로219번길 15-14,055-761-7397,2025-06-20
36,기독교,주영광교회,경상남도 진주시 내동면 내동로219번길 15-4,,2025-06-20
37,기독교,신광교회,경상남도 진주시 내동면 삼계로140번길 19,055-756-1745,2025-06-20
38,기독교,사랑의 공동체,경상남도 진주시 내동면 신율길 30-49,055-759-0799,2025-06-20
39,불교,율법사,경상남도 진주시 내동면 신율길 30-130,,2025-06-20
40,불교,법주사,경상남도 진주시 내동면 산유로488번길 8-30 ,,2025-06-20
41,불교,인연암,경상남도 진주시 정촌면 무선산로 332,,2025-06-20
42,불교,토왕암,경상남도 진주시 정촌면 화개길 236번길19,055-754-8033,2025-06-20
43,불교,미송사,경상남도 진주시 정촌면 화개리 산23-3,055-742-8802,2025-06-20
44,불교,정토사,경상남도 진주시 정촌면 화원길 1-21,,2025-06-20
45,불교,휴휴암,경상남도 진주시 정촌면 정촌로 423번길 89-20,055-752-4326,2025-06-20
46,기독교,강주교회,경상남도 진주시 정촌면 강주길 66번길 9,055-754-8113,2025-06-20
47,기독교,관봉교회,경상남도 진주시 정촌면 무선산로 92-19 외4필지,,2025-06-20
48,기독교,소곡교회,경상남도 진주시 정촌면 정촌로 278번길 7,055-754-9176,2025-06-20
49,기독교,화목한교회,경상남도 진주시 정촌면 무선산로 120,055-754-8591,2025-06-20
50,기독교,진리와 사랑의 교회,"경상남도 진주시 정촌면 삼일로105번길 32-13, 203호",,2025-06-20
51,기독교,진주불꽃교회,경상남도 진주시 정촌면 삼일로72번길 18-5,,2025-06-20
52,기독교,참빛교회,경상남도 진주시 정촌면 정촌로 61-5,055-758-5353,2025-06-20
53,불교,금화사,경상남도 진주시 금곡면 구암두문로 951-21,,2025-06-20
54,불교,불광사,경상남도 진주시 금곡면 검암길 243-19 ,055-754-0877,2025-06-20
55,불교,대천사,경상남도 진주시 금곡면 송곡길 112-24 ,,2025-06-20
56,불교,백암사,경상남도 진주시 금곡면 홍정길52번길 34-3,,2025-06-20
57,불교,용주사,경상남도 진주시 금곡면 구암두문로 1001-11 ,055-754-0254,2025-06-20
58,기독교,금곡교회,경상남도 진주시 금곡면 월아산로115번길 4-1 ,055-754-2074,2025-06-20
59,기독교,송곡교회,경상남도 진주시 금곡면 송곡길 99,055-759-4838,2025-06-20
60,기독교,엄정교회,경상남도 진주시 금곡면 검암길 104-9 ,055-754-2174,2025-06-20
61,기독교,두란노교회,경상남도 진주시 금곡면 월아산로 599,055-742-8437,2025-06-20
62,기독교,수정교회,경상남도 진주시 금곡면 정자천로101번길 10,055-752-3927,2025-06-20
63,불교,구룡사,경상남도 진주시 진성면 동부로 1336-36,055-759-0776,2025-06-20
64,불교,구천사,경상남도 진주시 진성면 진성로 350-97,055-758-5802,2025-06-20
65,불교,불광사,경상남도 진주시 진성면 대사길19번길 118-16,055-759-0324,2025-06-20
66,불교,월아사,경상남도 진주시 진성면 동산길 155,,2025-06-20
67,불교,대성사,경상남도 진주시 진성면 일사로 648-34,,2025-06-20
68,불교,금재사,경상남도 진주시 진성면 진성로276번길 260,055-759-5359,2025-06-20
69,불교,금강선원,경상남도 진주시 진성면 달음산로504번길 51-34,055-759-6108,2025-06-20
70,기독교,진성교회,경상남도 진주시 진성면 진의로93번길 6-1,055-754-3280,2025-06-20
71,기독교,진성영일교회,경상남도 진주시 진성면 대사길16번길 5-1,,2025-06-20
72,기독교,진성대흥교회,경상남도 진주시 진성면 동부로1548번길 27-8,055-752-3759,2025-06-20
73,기독교,온수교회,경상남도 진주시 진성면 일사로 667-4,055-759-5326,2025-06-20
74,불교,관음사,경상남도 진주시 일반성면 창촌길 32-18,055-754-6355,2025-06-20
75,불교,금수암,경상남도 진주시 일반성면 남산길 32-23 ,,2025-06-20
76,기독교,반성교회,경상남도 진주시 일반성면 창촌길63번길 3,055-754-6066,2025-06-20
77,기독교,반석교회,경상남도 진주시 일반성면 동부로 2044-4,055-761-1150,2025-06-20
78,기독교,가선교회,경상남도 진주시 일반성면 반성로127번길 38,055-754-6277,2025-06-20
79,기독교,남산교회,경상남도 진주시 일반성면 일사로 380-19,055-759-4697,2025-06-20
80,기독교,알곡교회,경상남도 진주시 일반성면 창촌길45번길 63,055-756-0222,2025-06-20
81,천리교,진양교회,경상남도 진주시 일반성면 동부로1993번길 3-21,055-754-6885,2025-06-20
82,기독교,수목원교회,"경상남도 진주시 일반성면 공치고개길 21, 2층",,2025-06-20
83,불교,대천사,경상남도 진주시 이반성면 대천길152번길 50,055-758-9693,2025-06-20
84,불교,승가사,경상남도 진주시 이반성면 진마대로2520번길 251,055-754-1942,2025-06-20
85,불교,문수사,경상남도 진주시 이반성면 발산길47번길 200,055-758-9797,2025-06-20
86,불교,성전암,경상남도 진주시 이반성면 장안로65번길 291,055-754-7056,2025-06-20
87,불교,묘봉사,경상남도 진주시 이반성면 발산길47번길91,,2025-06-20
88,기독교,가산교회,경상남도 진주시 이반성면 오봉산로554번길 23-2,055-754-7047,2025-06-20
89,기독교,평촌교회,경상남도 진주시 이반성면 부평길 2,055-754-7745,2025-06-20
90,기독교,하곡교회,경상남도 진주시 이반성면 하곡로 77,055-754-8641,2025-06-20
91,원불교,원불교용암교당,경상남도 진주시 이반성면 용암길 67,055-754-7016,2025-06-20
92,기독교,꽃향기가득한 교회,경상남도 진주시 이반성면 발산길 10-1,,2025-06-20
