연번,시군명,시설명,주소
1,창원시,가곡 경로당,의창구 동읍 신촌본포로442번길 26
2,창원시,고양 경로당 ,의창구 동읍 백월로 540 
3,창원시,곡목 경로당 ,의창구 동읍 동읍로 359번길 43 
4,창원시,금동 경로당 ,의창구 동읍 동읍로 835번길 7 
5,창원시,금산 경로당 ,의창구 동읍 동읍로 670번길 6 
6,창원시,기로회 경로당 ,의창구 동읍 용잠로 45-5 
7,창원시,남산경로당 ,의창구 동읍 용남길 10번길 74 
8,창원시,내단 경로당 ,의창구 동읍 자여로 118번길 7 
9,창원시,노옥 경로당 ,의창구 동읍노연로 143번길 12 
10,창원시,다호 경로당 ,의창구 동읍 의창구 동읍로 267번길 35 
11,창원시,단산경로당 ,의창구 동읍 자여로 78번길 5 
12,창원시,달천 경로당 ,의창구 동읍 노연로 69번길 27 
13,창원시,대한APT 경로당 ,의창구 동읍 신방로 17(대한아파트) 
14,창원시,덕산경로당 ,의창구 동읍 덕산길43번길 8 
15,창원시,덕천경로당 ,의창구 동읍 의창구 동읍로 19번길 50 
16,창원시,동부산2차아파트경로당 ,의창구 동읍 용정길32번길 14(동부산훼미리타운2차) 
17,창원시,동월 경로당 ,의창구 동읍 주남로 128번길 68-2 
18,창원시,마룡 경로당 ,의창구 동읍 석산길 51번길 8-18 
19,창원시,모암 경로당 ,의창구 동읍 의창구 동읍로 213번길 7 
20,창원시,무성 경로당 ,의창구 동읍 무성길47번길 1 
21,창원시,무성1구경로당 ,의창구 동읍 무성길47번길 21 
22,창원시,무성1구남자경로당 ,의창구 동읍 무성길 47번길 21 
23,창원시,무성부인 경로당 ,의창구 동읍 무성길47번길 1 
24,창원시,무점 경로당 ,의창구 동읍 무점길 88번길 21-12 
25,창원시,본포 경로당 ,의창구 동읍 의창구 동읍로 1310번길 68 
26,창원시,봉강 경로당 ,의창구 동읍 의창구 동읍로 1141번길 31 
27,창원시,봉곡 경로당 ,의창구 동읍 의창구 동읍로 1057번길  51 
28,창원시,봉산경로당 ,의창구 동읍 자여로 60번길 11 
29,창원시,산남 경로당 ,의창구 동읍 봉강가술로 203 
30,창원시,삼운 경로당 ,의창구 동읍 의창구 동읍로 1153 
31,창원시,삼진아파트경로당 ,"의창구 동읍의창대로915번길 8, (삼진아파트) "
32,창원시,석산 경로당 ,의창구 동읍 석산리 16번길 9 
33,창원시,성진2차경로당 ,의창구 동읍 용정길 46번길 35 
34,창원시,성진까치빌라경로당 ,의창구 동읍 단계로 84 
35,창원시,성진정 경로당 ,의창구 동읍 용정길 46번길 53 
36,창원시,송정1구경로당 ,의창구 동읍 자여로 82 
37,창원시,송정주공APT경로당 ,의창구 동읍 용정길 26(송정주공아파트) 
38,창원시,신방 경로당 ,의창구 동읍로 112번길 1-5 
39,창원시,신방 부인 경로당 ,의창구 동읍로 112번길 1-5 
40,창원시,신안APT 경로당 ,의창구 동읍 의창구 동읍로 13-1 
41,창원시,양교경로당 ,의창구 동읍 의창구 동읍로 968-2 
42,창원시,외단경로당 ,의창구 동읍 자여로 115번길 84 
43,창원시,용강 경로당 ,의창구 동읍의창대로 421번길 43 
44,창원시,용산 경로당 ,의창구 동읍 죽동길 53 
45,창원시,용산부인경로당 ,의창구 동읍 죽동길 53 
46,창원시,용암 경로당 ,의창구 동읍의창대로 491번길 57-3 
47,창원시,용연 경로당 ,의창구 동읍 노연로 224-12 
48,창원시,용잠1구 경로당 ,의창구 동읍 용잠로 42-12 
49,창원시,용잠1구여성경로당,의창구 동읍 용잠로 42-11
50,창원시,용잠2구 경로당 ,의창구 동읍 의창대로 900번길 9-4 
51,창원시,용잠3구 경로당 ,의창구 동읍 의창구 동읍로 16-12 
52,창원시,용잠6구경로당 ,의창구 동읍 의창대로 915번길 17-2 
53,창원시,용잠본동경로당 ,의창구 동읍 의창구 동읍로 83번길 33-3 
54,창원시,용잠본동부인경로당 ,의창구 동읍 의창구 동읍로 83번길 33-3 
55,창원시,용전경로당 ,의창구 동읍 용남길 85 
56,창원시,용정1구 경로당 ,의창구 동읍 자여로 100 
57,창원시,용정2구 경로당 ,의창구 동읍 용정길 46번길 49-1 
58,창원시,용정3구경로당 ,의창구 용정길46번길 42-10 
59,창원시,원봉강 경로당 ,의창구 동읍 의창구 동읍로 1187번길 12 
60,창원시,원창아파트 경로당 ,의창구 동읍 의창대로858 (원창호수아파트) 
61,창원시,월잠 경로당 ,의창구 동읍 주남로 61번길 1 
62,창원시,이운 경로당 ,의창구 동읍 백월로 549 
63,창원시,전촌 경로당 ,의창구 동읍 의창구 동읍로 1223번길 36-17 
64,창원시,죽동 경로당 ,의창구 동읍 봉강가술로 237번길 8 
65,창원시,칠성그린APT 경로당 ,의창구 동읍 의창구 동읍로 218(칠성그린아파트) 
66,창원시,판신경로당 ,의창구 동읍 주남로 184번길 5 
67,창원시,합산 경로당 ,의창구 동읍 죽동길 25번길 66 
68,창원시,화목 경로당 ,의창구 동읍 화양길 72
69,창원시,STX칸1차아파트경로당,의창구 북면 무동서로 76
70,창원시,갈전경로당,의창구 북면 구룡로380번길 47-1
71,창원시,감계아내1차아파트경로당,의창구 북면 감계로 277
72,창원시,감계아내2차아파트경로당,의창구 북면 감계로 342
73,창원시,감계푸르지오아파트경로당,의창구 북면 감계로 221
74,창원시,감계휴먼빌경로당,의창구 북면 감계로 297
75,창원시,감계힐스테이트1차아파트경로당,의창구 북면 동전로 86 
76,창원시,감계힐스테이트2차아파트경로당,의창구 북면 감계로 341
77,창원시,감계힐스테이트3차아파트경로당,의창구 북면 감계로 259
78,창원시,감계힐스테이트4차아파트경로당,의창구 북면 감계로 233
79,창원시,고암경로당,의창구 북면 고암길 26
80,창원시,남백경로당,의창구 북면 백월로277번길 10
81,창원시,내감경로당,의창구 북면 내감1길 20
82,창원시,내감부인경로당,의창구 북면 내감1길 20
83,창원시,내산경로당,의창구 북면 외산로157번길 5-4
84,창원시,대천경로당,의창구 북면 천주로 606
85,창원시,대한경로당,의창구 북면 구룡로 79-15
86,창원시,대호아파트경로당,의창구 북면 천주로 1053(대호아파트)
87,창원시,동전경로당,의창구 북면 동전무동길 30
88,창원시,마산경로당,의창구 북면 마산길 48
89,창원시,마산부인경로당,의창구 북면 마산길 49
90,창원시,명촌경로당,의창구 북면 외산로 349
91,창원시,명호경로당,의창구 북면 천주로759번길 15-9
92,창원시,무동경로당,의창구 북면 무동안길 20-5
93,창원시,무동휴먼빌경로당(1단지),"의창구 북면 동곡로 33, 108동"
94,창원시,무동휴먼빌2단지아파트경로당,의창구 북면 동곡로 35
95,창원시,무동휴먼빌3단지아파트경로당,의창구 북면 무동로226번길 19
96,창원시,바깥신천경로당,의창구 북면 천주로 1398-12
97,창원시,북면경로당,의창구 북면 천주로1128번길 8
98,창원시,소라경로당,의창구 북면 온천로587번길 17-3
99,창원시,상천(봉촌)경로당,의창구 북면 온천로 648-22
100,창원시,센텀파라디아아파트경로당,의창구 북면 무동서로 24
101,창원시,송촌경로당,의창구 북면 무릉산길 239-3
