연번,시군명,시설명,주소,분회명,회원수,운영형태
1028,진주시,문산경로당,진주시 문산읍 동부로588번길 10 ,문산읍,100,남여혼합
1029,진주시,상이경로당,진주시 문산읍 동부로781번길 56 ,문산읍,59,남여혼합
1030,진주시,부동경로당,진주시 문산읍 소문길 117 ,문산읍,67,남여혼합
1031,진주시,주정경로당,진주시 문산읍 소문길 89-6 ,문산읍,55,남여혼합
1032,진주시,관정경로당,진주시 소문길67번길 11 ,문산읍,50,남여혼합
1033,진주시,동정경로당,진주시 문산읍 소문길53번길 3 ,문산읍,65,남여혼합
1034,진주시,서정경로당,진주시 문산읍 소문길 37-10 ,문산읍,46,남여혼합
1035,진주시,남동경로당,진주시 문산읍 소문길17번길 6(2층) ,문산읍,61,남여혼합
1036,진주시,남서경로당,진주시 문산읍 월아산로1094번길 7 ,문산읍,46,남여혼합
1037,진주시,삼곡리경로당,진주시 문산읍 동부로 634 ,문산읍,59,남여혼합
1038,진주시,원당경로당,진주시 문산읍 동부로 620 ,문산읍,45,남여혼합
1039,진주시,덕촌경로당,진주시 문산읍 동부로591번길 6-1(2층) ,문산읍,75,남여혼합
1040,진주시,덕동경로당,진주시 문산읍 동부로587번길 9 ,문산읍,43,남여혼합
1041,진주시,덕남경로당,진주시 문산읍 동부로 564 ,문산읍,69,남여혼합
1042,진주시,제곡경로당,진주시 문산읍 제곡길 153 ,문산읍,31,남여혼합
1043,진주시,어수경로당,진주시 문산읍 월아산로800번길 22 ,문산읍,39,남여혼합
1044,진주시,이곡경로당,진주시 문산읍 이곡길 123 ,문산읍,49,남여혼합
1045,진주시,안전경로당,진주시 문산읍 정자천로 371 ,문산읍,37,남여혼합
1046,진주시,동방경로당,진주시 문산읍 정자천로 204 ,문산읍,32,남여혼합
1047,진주시,갈곡경로당,진주시 문산읍 갈곡길 24 ,문산읍,122,남여혼합
1048,진주시,갈곡노인경로당,진주시 문산읍 문산로 696 ,문산읍,58,남여혼합
1049,진주시,송정경로당,진주시 문산읍 문산로 582 ,문산읍,71,남여혼합
1050,진주시,정동경로당,진주시 문산읍 동부로326번길 85 ,문산읍,38,남여혼합
1051,진주시,원촌경로당,진주시 문산읍 동부로302번길 3 ,문산읍,35,남여혼합
1052,진주시,신촌경로당,진주시 문산읍 문정로592번길 19-4 ,문산읍,42,남여혼합
1053,진주시,대호경로당,진주시 문산읍 문정로540번길 13 ,문산읍,29,남여혼합
1054,진주시,두산경로당,진주시 문산읍 두산길203번길 12 ,문산읍,47,남여혼합
1055,진주시,계리경로당,진주시 문산읍 두산길5번길 1 ,문산읍,31,남여혼합
1056,진주시,파란채경로당,진주시 문산읍 월아산로1048번길 15(문산파란채A) ,문산읍,38,남여혼합
1057,진주시,코아루A경로당,진주시 문산읍 월아산로1117번길 5(문산코아루A) ,문산읍,52,남여혼합
1058,진주시,독산경로당,진주시 내동면 순환로 396 ,내동면,56,남여혼합
1059,진주시,산강경로당,진주시 내동면 산유로 463 ,내동면,40,남여혼합
1060,진주시,대동경로당,진주시 내동면 내동로 264 ,내동면,68,남여혼합
1061,진주시,율곡경로당,진주시 내동면 신율길 95 ,내동면,23,남여혼합
1062,진주시,산기경로당,진주시 내동면 철봉산길147번길 9 ,내동면,23,남여혼합
1063,진주시,삼계경로당,진주시 내동면 삼계로312번길 3 ,내동면,17,남여혼합
1064,진주시,양옥경로당,진주시 내동면 삼계로 288 ,내동면,50,남여혼합
1065,진주시,신광경로당,진주시 내동면 삼계로140번길 23 ,내동면,16,남여혼합
1066,진주시,유동경로당,진주시 내동면 내축로 425(2층) ,내동면,38,남여혼합
1067,진주시,가호경로당,진주시 내동면 유수길 121 ,내동면,31,남여혼합
1068,진주시,정동경로당,진주시 내동면 내축로577번길 13-2 ,문산읍,38,남여혼합
1069,진주시,내평경로당,진주시 내동면 내축로663번길 48 ,내동면,21,남여혼합
1070,진주시,상촌경로당,진주시 내동면 내축로577번길 166-3(2층) ,내동면,25,남여혼합
1071,진주시,남강휴먼빌A경로당,진주시 내동면 순환로 425-61(남강휴먼빌A) ,내동면,36,남여혼합
1072,진주시,화동경로당,진주시 정촌면 화개길 61 ,정촌면,38,남여혼합
1073,진주시,화원경로당,진주시 정촌면 대축길237번길 22 ,정촌면,35,남여혼합
1074,진주시,매동경로당,진주시 정촌면 화개길 234 ,정촌면,20,남여혼합
1075,진주시,매동본동경로당,진주시 정촌면 화개길 148 ,정촌면,24,남여혼합
1076,진주시,이동경로당,진주시 정촌면 정촌로139번길 19-9 ,정촌면,21,남여혼합
1077,진주시,모심경로당,진주시 정촌면 화개길 345 ,정촌면,49,남여혼합
1078,진주시,죽봉경로당,진주시 정촌면 화개길194번길 121(2층) ,정촌면,34,남여혼합
1079,진주시,고미경로당,진주시 정촌면 정촌로 626 ,정촌면,25,남여혼합
1080,진주시,봉동경로당,진주시 정촌면 문정로82번길 4 ,정촌면,31,남여혼합
1081,진주시,봉전경로당,진주시 정촌면 무선산로 265 ,정촌면,34,남여혼합
1082,진주시,소곡경로당,진주시 정촌면 정촌로265번길 15 ,정촌면,84,남여혼합
1083,진주시,삼웅경로당,진주시 정촌면 정촌로 525 ,정촌면,17,남여혼합
1084,진주시,예상경로당,진주시 정촌면 강주길 125 ,정촌면,17,남여혼합
1085,진주시,대초경로당,진주시 정촌면 강주길229번길 16 ,정촌면,23,남여혼합
1086,진주시,강주경로당,진주시 정촌면 강주길 52(2층)    ,정촌면,112,남여혼합
1087,진주시,강남경로당,진주시 정촌면 강주길18번길 24 ,정촌면,31,남여혼합
1088,진주시,강서경로당,진주시 정촌면 강주길 3-8 ,정촌면,20,남여혼합
